ID	LEMMA	UPOS	GENERE	WRITTEN REPRESENTATION	ID LEMMA VARIANT	TRADUZIONI	URI ITALIANO
1	dicembri	NOUN	m	["ricièmmiru","dicièmmiru","dicèmmiru","dicembri","dicièmmuru","dicèmmuru","dicembru","ricièmmuru"]	[]	["dicembre"]	["http://liita.it/data/id/lemma/984014"]
2	sicilianu	NOUN	m	["sicilianu"]	[]	["lingua siciliana","siciliano"]	["http://liita.it/data/id/lemma/1038392"]
3	sicilianu	ADJ	m	["sicilianu"]	[]	["siciliano"]	["http://liita.it/data/id/lemma/1038391"]
4	nglisi	NOUN	m	["nghisi","nglisi"]	[]	["inglese"]	["http://liita.it/data/id/lemma/1001544"]
5	francisi	NOUN	m	["francisi"]	[]	["francese"]	["http://liita.it/data/id/lemma/993592"]
6	francisi	NOUN	m	["francisi"]	[]	["francesi"]	[]
7	francisi	NOUN	m	["francisi"]	[]	["lingua francese"]	["http://liita.it/data/id/lemma/993592"]
8	astronumìa	NOUN	f	["astronumìa"]	[]	["astronomia"]	["http://liita.it/data/id/lemma/967031"]
9	ulannisi	NOUN	m	["ulannisi"]	[]	["olandese"]	["http://liita.it/data/id/lemma/1095078"]
10	ulannisi	NOUN	m	["ulannisi"]	[]	["lingua olandese"]	["http://liita.it/data/id/lemma/1095078"]
11	talianu	NOUN	m	["talianu"]	[]	["italiano"]	["http://liita.it/data/id/lemma/1004322"]
12	talianu	NOUN	m	["talianu"]	[]	["lingua italiana"]	["http://liita.it/data/id/lemma/1004322"]
13	talianu	ADJ	m	["talianu"]	[]	["italiano"]	["http://liita.it/data/id/lemma/1004321"]
14	arbanisi	NOUN	m	["arbanisi"]	[]	["albanese"]	["http://liita.it/data/id/lemma/1089081"]
15	arbanisi	NOUN	m	["arbanisi"]	[]	["lingua albanese"]	["http://liita.it/data/id/lemma/1089081"]
16	a	DET	f	["a","la"]	[]	["la"]	["http://liita.it/data/id/lemma/1004641"]
17	a	PRON	f	["a"]	[]	["la"]	["http://liita.it/data/id/lemma/1004642"]
18	a	ADP		["a"]	[]	["a","ad"]	["http://liita.it/data/id/lemma/959816","http://liita.it/data/id/lemma/1125711","http://liita.it/data/id/lemma/959817"]
19	â	ADP	f	["â","a la","alla"]	[]	["alla"]	["http://liita.it/data/id/lemma/1089122"]
20	abbabbasunatu	ADJ	m	["abbabbasunutu","abbabbasunatu"]	[]	["rimbecillito","intontito"]	["http://liita.it/data/id/hypolemma/26493","http://liita.it/data/id/hypolemma/28998"]
21	abbabbiri	VERB		["abbabbiri"]	[]	["rendere stupido","istupidire"]	["http://liita.it/data/id/lemma/1004289"]
24	Malta	PROPN	f	["Malta"]	[]	["Malta"]	[]
25	tudiscu	NOUN	m	["tudiscu","tidiscu","tedescu"]	[]	["tedesco"]	["http://liita.it/data/id/lemma/1045689"]
26	tudiscu	NOUN	m	["tudiscu","tidiscu","tedescu"]	[]	["lingua tedesca"]	["http://liita.it/data/id/lemma/1045689"]
